encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,l1d_size,l1i_size,l2_size,l3_size,num_cores,l1d_misses,l1i_misses,l2_misses,l3_misses
512,6,768,3,512,4,2432,4.5,2,2.25,32,32,256,4096,1,29325014,26245575,18384863,3534903
640,6,1109.3333333333,4.3333333333,512,4,1280,3.5,7,1.5,32,32,256,4096,1,29245589,26185840,18282799,3537354
640,6,1109.3333333333,6.3333333333,512,4,1920,4,5.5,1.75,32,32,256,4096,1,29194314,26201093,18286664,3537610
640,6,1365.3333333333,4,640,1,512,2,4,1,32,32,256,4096,1,29040708,26231115,18333272,3535994
640,6,1621.3333333333,6,512,5,1638.4,3.6,4.4,1.8,32,32,256,4096,1,29049404,26177757,18274807,3537847
512,6,1365.3333333333,4.6666666667,512,6,2048,5,6,2,32,32,256,4096,1,29127157,26191774,18310413,3537320
512,6,1450.6666666667,4,640,5,1536,2.8,5.2,2.6,32,32,256,4096,1,29047070,26144714,18269507,3538313
512,6,1621.3333333333,5.3333333333,640,3,682.6666666667,2.6666666667,4.6666666667,1.6666666667,32,32,256,4096,1,29291468,26163241,18275051,3536930
512,6,1280,5.3333333333,640,5,1945.6,3.2,5.2,1.6,32,32,256,4096,1,29162986,26249197,18413257,3539604
512,6,1877.3333333333,4.6666666667,512,4,2816,5.5,3,2.25,32,32,256,4096,1,29008340,26263597,18451160,3537060
512,6,1877.3333333333,6.3333333333,640,6,2560,5.6666666667,4,1.8333333333,32,32,256,4096,1,29223639,26242321,18419857,3538807
640,6,938.6666666667,3.6666666667,512,6,1962.6666666667,4.6666666667,4.6666666667,2,32,32,256,4096,1,29176284,26272265,18430610,3536010
640,6,1280,3.6666666667,512,6,1706.6666666667,4.6666666667,5.3333333333,2,32,32,256,4096,1,29098565,26252006,18537246,3537451
512,6,2048,6.3333333333,640,2,1792,5,5,1.5,32,32,256,4096,1,29264399,26195810,18304734,3536839
512,6,2218.6666666667,4,640,3,682.6666666667,3.3333333333,4,2.3333333333,32,32,256,4096,1,29273492,26199644,18291696,3537038
512,6,2389.3333333333,3.6666666667,512,3,1536,4,8,2.3333333333,32,32,512,4096,1,28548046,25685478,10706519,3563154
512,6,2133.3333333333,5.6666666667,512,5,921.6,4.8,7.2,2.6,32,32,512,4096,1,28645164,25696564,10762831,3561827
640,6,1877.3333333333,3.6666666667,512,4,1664,4,4,1.75,32,32,512,4096,1,28838013,25686766,10700177,3560290
640,6,1706.6666666667,5.3333333333,512,5,1740.8,3.6,5.6,2.2,32,32,512,4096,1,29007816,25758208,10800126,3564147
512,6,682.6666666667,4.6666666667,512,2,1280,3,8,1.5,32,32,512,4096,1,28899389,25673377,10761770,3564437
640,6,1536,4,512,4,896,6,4,2,32,32,512,4096,1,28608135,25678096,10674589,3559398
640,6,1706.6666666667,5.6666666667,640,6,1962.6666666667,6,4.3333333333,2.1666666667,32,32,512,4096,1,28876238,25689508,10785766,3562384
640,6,2218.6666666667,5.6666666667,512,3,1194.6666666667,3.3333333333,3.3333333333,2.3333333333,32,32,512,4096,1,28673023,25740768,10703813,3561279
640,6,1792,4,512,4,1792,4.5,7,2,32,32,512,4096,1,28954803,25690131,10805963,3560902
640,6,1962.6666666667,3.6666666667,512,5,1740.8,4.4,5.6,2,32,32,512,4096,1,28763497,25768846,10780938,3561882
640,6,2389.3333333333,4.6666666667,640,3,1194.6666666667,5.3333333333,2.6666666667,1,32,32,512,8192,1,28831485,25737780,10789647,2818725
640,6,1280,5,640,3,2730.6666666667,6,2.6666666667,2.3333333333,32,32,512,8192,1,28871275,25751454,10776927,2818543
512,6,1536,6,640,3,2048,4.6666666667,4.6666666667,1.3333333333,32,32,512,8192,1,28807004,25735707,10744910,2816857
640,6,1877.3333333333,6.3333333333,512,5,1740.8,4.8,7.2,1.4,32,32,512,8192,1,29193315,25734782,10773289,2820260
512,6,1621.3333333333,5,640,2,2560,2,6,1.5,32,32,512,8192,1,28935906,25721278,10790659,2820940
640,6,1194.6666666667,5,640,4,1792,4,4.5,1.75,32,32,512,8192,1,28745717,25704053,10772326,2817172
640,6,1962.6666666667,5.6666666667,512,3,1536,4.6666666667,4,1.6666666667,32,32,512,8192,1,28790866,25712602,10801792,2818925
640,6,2218.6666666667,6,640,3,2389.3333333333,2,5.3333333333,2.3333333333,32,32,512,8192,1,28744258,25706881,10788753,2819625
640,6,1024,4.3333333333,640,4,2048,3,6.5,2.25,32,32,512,8192,1,28686362,25670691,10750424,2817390
512,6,1194.6666666667,6,640,5,2457.6,3.6,5.6,2,32,32,512,8192,1,28757912,25710341,10758209,2817917
512,6,1621.3333333333,4.6666666667,640,4,1280,5,7,1.5,32,32,512,8192,1,28832873,25671491,10778760,2817875
512,6,1877.3333333333,5.6666666667,640,4,1152,5.5,6,1.75,32,32,512,8192,1,28781705,25722049,10691356,2818466
512,6,1706.6666666667,6.6666666667,512,5,2662.4,5.2,3.6,2,32,32,512,8192,1,28894158,25721173,10709951,2817974
640,6,1450.6666666667,5.6666666667,512,3,682.6666666667,5.3333333333,2,2,32,32,512,8192,1,28656380,25685254,10724708,2818737
512,6,1280,5,512,4,1152,5,4,1.5,32,32,512,8192,1,28762015,25707322,10687837,2817949
512,6,853.3333333333,5.3333333333,512,5,716.8,4.4,7.2,1.6,32,32,512,4096,1,28846788,25750201,10796808,3563559
640,6,1877.3333333333,4,512,6,2389.3333333333,4,6.6666666667,1.8333333333,32,32,256,4096,1,29195177,26177745,18239984,3538092
512,6,938.6666666667,5,640,3,2389.3333333333,6,4.6666666667,1.3333333333,32,32,512,8192,1,28906676,25776597,10779657,2818154
640,6,1706.6666666667,4.3333333333,512,6,1450.6666666667,6,4,2,32,32,512,4096,1,28708211,25726763,10819846,3562712
640,6,1280,5.6666666667,512,1,1024,4,2,2,32,32,256,4096,1,29053654,26164176,18294095,3536654
640,6,2218.6666666667,5.6666666667,512,3,2048,2.6666666667,2,2.3333333333,32,32,512,4096,1,28927868,25687118,10940288,3562613
640,6,1962.6666666667,6,512,1,512,4,2,3,32,32,512,8192,1,28674892,25693033,10698477,2817052
512,6,1194.6666666667,5,640,5,2252.8,4,2.4,2.6,32,32,512,8192,1,28875210,25728929,10784484,2818091
512,6,1962.6666666667,4.3333333333,640,3,1194.6666666667,4.6666666667,4.6666666667,3,32,32,512,8192,1,28906224,25782546,10740392,2819278
640,6,1792,5.6666666667,640,5,1024,4,4,1.8,32,32,512,8192,1,28712911,25683153,10740710,2818278
640,6,1877.3333333333,4.3333333333,512,3,1536,6,6.6666666667,1.6666666667,32,32,512,4096,1,29040263,25737482,10748014,3560826
640,6,1109.3333333333,4.3333333333,512,3,1706.6666666667,3.3333333333,2.6666666667,1.6666666667,32,32,512,8192,1,28796500,25712868,10728118,2819279
512,6,1280,7,512,4,1792,3.5,4.5,3,32,32,512,8192,1,28774959,25719284,10728129,2820956
640,6,682.6666666667,4.6666666667,512,6,2218.6666666667,6,2.6666666667,1.8333333333,32,32,256,4096,1,28967345,26137268,18241332,3538309
640,6,2048,5,640,3,1706.6666666667,8,4.6666666667,1.6666666667,32,32,512,4096,1,28781072,25669171,10723363,3562606
512,6,1962.6666666667,6,640,1,512,8,2,3,32,32,512,8192,1,28853782,25775776,10762094,2818342
512,6,1280,5.6666666667,512,1,2048,4,8,3,32,32,256,4096,1,29195733,26203599,18311621,3537587
512,6,1621.3333333333,8,512,2,2560,2,4,2,32,32,512,8192,1,28964765,25729673,10788258,2817452
640,6,1194.6666666667,4.3333333333,640,6,1365.3333333333,5.3333333333,5.3333333333,2.1666666667,32,32,512,4096,1,28679229,25731595,10726367,3563765
640,6,1536,4,640,2,1792,2,3,3,32,32,512,8192,1,28732755,25699441,10694884,2819809
640,6,1450.6666666667,6,512,4,896,2.5,4.5,2.5,32,32,512,8192,1,28901685,25706189,10734309,2818391
640,6,1792,7.3333333333,512,3,1365.3333333333,2.6666666667,2,2.3333333333,32,32,512,8192,1,28838965,25705033,10800289,2818314
512,6,938.6666666667,5.6666666667,512,6,1024,5,2.6666666667,2.5,32,32,512,8192,1,28792651,25712445,10666132,2817334
640,6,1365.3333333333,5,640,2,3072,8,6,1.5,32,32,256,4096,1,29130558,26171294,18195624,3536940
512,6,853.3333333333,5,640,4,1920,7,5.5,2,32,32,256,4096,1,29221252,26207525,18309214,3538225
640,6,1877.3333333333,3.3333333333,640,1,512,8,2,2,32,32,512,8192,1,28747790,25738901,10772989,2819322
512,6,1536,5.6666666667,640,4,2560,4,3.5,2.75,32,32,512,8192,1,28871367,25696573,10831556,2818579
512,6,1962.6666666667,5,512,1,1024,8,8,3,32,32,256,4096,1,29269534,26262203,18591139,3540407
512,6,1792,4.6666666667,640,1,2048,8,2,2,32,32,256,4096,1,28932065,26158419,18249075,3536146
512,6,1536,4,512,6,1621.3333333333,5.3333333333,6,2.5,32,32,256,4096,1,29191112,26210197,18393138,3537041
640,6,1621.3333333333,2.3333333333,512,5,1126.4,2.4,2.8,1.8,32,32,512,8192,1,28841559,25734616,10765764,2819172
640,6,1024,4.3333333333,640,2,1280,5,2,3,32,32,512,8192,1,28647843,25685954,10733408,2817008
512,6,1792,4.3333333333,512,3,2218.6666666667,4.6666666667,3.3333333333,1.6666666667,32,32,256,4096,1,28996316,26276751,18363206,3536695
640,6,2133.3333333333,3.6666666667,640,2,768,3,5,3,32,32,256,4096,1,29188207,26211009,18413291,3535469
512,6,1109.3333333333,4.6666666667,512,1,1024,8,2,2,32,32,256,4096,1,29255945,26204219,18315772,3537939
640,6,1877.3333333333,4.6666666667,640,5,1433.6,5.2,3.2,2.2,32,32,512,8192,1,28763882,25726795,10775653,2819918
640,6,1365.3333333333,5,512,6,1962.6666666667,4.3333333333,5.3333333333,1.8333333333,32,32,512,8192,1,28894172,25677544,10809912,2819392
512,6,2048,6,640,2,2560,6,3,1.5,32,32,512,4096,1,29018884,25755644,11005467,3563306
512,6,938.6666666667,5.6666666667,640,5,1433.6,6.4,2.8,2.4,32,32,256,4096,1,29233470,26222591,18379656,3538171
640,6,1536,3.3333333333,512,4,1408,6,4,1.25,32,32,512,8192,1,28825663,25780868,10745897,2817499
512,6,1450.6666666667,5.3333333333,640,1,512,2,8,3,32,32,512,8192,1,28703247,25739886,10769391,2817987
512,6,853.3333333333,4.3333333333,512,3,1877.3333333333,6.6666666667,4,1.6666666667,32,32,512,8192,1,28902481,25772505,10857876,2818695
512,6,1194.6666666667,3.6666666667,512,2,1792,5,5,1.5,32,32,512,8192,1,28947209,25686087,10783946,2817891
640,6,1109.3333333333,3,512,6,1024,5.6666666667,4.3333333333,2.5,32,32,512,4096,1,28862660,25721633,10778916,3561746
640,6,1536,5.6666666667,640,5,1843.2,5.2,5.2,1.8,32,32,512,4096,1,29048865,25772168,10813849,3561851
640,6,1792,4.6666666667,512,4,896,3.5,6.5,2.5,32,32,512,4096,1,28893139,25729606,10769027,3562461
640,6,1280,4.3333333333,640,6,2048,3,4.3333333333,2,32,32,512,4096,1,28856418,25712195,10828925,3560836
512,6,1962.6666666667,3.6666666667,512,1,3072,2,8,2,32,32,512,8192,1,28932319,25723406,10721069,2816853
640,6,1450.6666666667,5,640,6,1536,3.3333333333,5,2.6666666667,32,32,512,8192,1,28754757,25713654,10738349,2819875
512,6,1706.6666666667,4,512,4,2176,2,2.5,2,32,32,512,8192,1,28649322,25735552,10721125,2819254
640,6,1536,4,640,1,3072,2,4,3,64,64,512,8192,1,20260005,10450254,11210750,2816914
512,6,1536,4,640,2,2048,6,3,2.5,64,64,512,8192,1,20335875,10463798,11179755,2815686
640,6,1109.3333333333,5.6666666667,512,6,1536,5,4.3333333333,2,64,64,512,8192,1,20250929,10461669,11260883,2815717
512,6,1365.3333333333,4.6666666667,640,3,1706.6666666667,3.3333333333,6.6666666667,2.6666666667,64,64,512,8192,1,20268686,10465262,11214646,2816343
640,6,1877.3333333333,4.3333333333,640,6,1280,5.3333333333,6,2.3333333333,64,64,512,8192,1,20242857,10462608,11212613,2817831
512,6,768,3.6666666667,640,2,2048,6,3,1,64,64,512,8192,1,20406388,10478936,11308302,2816492
640,6,1792,5,512,1,512,2,2,2,64,64,512,8192,1,20405733,10471587,11346026,2816168
512,6,1792,6,512,4,1920,6,7,1.75,64,64,512,8192,1,20207702,10453767,11204377,2816216
512,6,1280,6.6666666667,512,3,2218.6666666667,3.3333333333,5.3333333333,2.3333333333,64,64,512,8192,1,20252263,10449063,11235481,2815724
512,6,1792,3.6666666667,512,4,1536,5.5,3,2,64,64,512,8192,1,20384584,10475258,11263085,2816801
640,6,853.3333333333,7.3333333333,640,5,1536,3.6,2,1.2,64,64,512,8192,1,20317481,10468525,11248299,2816055
640,6,1621.3333333333,4.6666666667,512,6,1280,4.6666666667,4.3333333333,2.3333333333,64,64,512,8192,1,20354676,10486334,11301012,2817528
512,6,2560,5.6666666667,512,2,1536,3,5,1.5,64,64,512,8192,1,20322663,10467482,11235255,2816990
512,6,2133.3333333333,3.6666666667,640,1,3072,8,2,3,64,64,512,8192,1,20350058,10472019,11290477,2816731
512,6,1877.3333333333,4.3333333333,640,3,2389.3333333333,4,4.6666666667,2.6666666667,64,64,512,8192,1,20248153,10477714,11186585,2816172
512,6,2133.3333333333,7,512,3,2218.6666666667,8,6.6666666667,1.3333333333,32,32,512,4096,1,28635676,25711042,10758168,3563194
640,6,1536,4.6666666667,512,1,512,4,2,3,32,32,512,8192,1,28900489,25718933,10798464,2819520
640,6,1024,6.3333333333,640,5,2457.6,4.8,6,2.6,32,32,256,4096,1,29263046,26188643,18269717,3535451
512,6,1024,4,512,3,1024,6.6666666667,6.6666666667,2.3333333333,32,32,512,4096,1,28912136,25704271,10795643,3561276
512,6,1536,2.3333333333,640,2,1792,5,6,2,64,64,512,8192,1,20378666,10475818,11226493,2816314
512,6,1194.6666666667,4.6666666667,512,6,1706.6666666667,4.6666666667,4,1.6666666667,32,32,512,8192,1,28843818,25720437,10788490,2819237
512,6,2133.3333333333,5,512,5,1126.4,4.4,4.8,2.2,32,32,512,4096,1,28715849,25735400,10789182,3563748
640,6,1365.3333333333,4.3333333333,512,2,1536,5,3,1.5,64,64,512,8192,1,20348250,10476115,11246271,2816384
512,6,1024,3.3333333333,640,2,1792,5,3,1.5,32,32,256,4096,1,29018493,26237813,18380391,3537553
512,6,1280,5.3333333333,640,1,2048,2,8,2,32,32,256,4096,1,29186618,26140007,18329723,3537489
640,6,1792,4.6666666667,512,4,1664,6.5,4.5,2.25,64,64,512,8192,1,20264872,10462753,11248114,2814868
512,6,1877.3333333333,6.3333333333,640,3,2389.3333333333,3.3333333333,6,1.3333333333,32,32,512,8192,1,28696550,25699559,10782605,2817485
640,6,1962.6666666667,4.3333333333,640,3,1877.3333333333,4,4.6666666667,2,32,32,512,4096,1,28884750,25707307,10753245,3561205
640,6,1365.3333333333,5.3333333333,512,3,1706.6666666667,2.6666666667,4.6666666667,1.6666666667,32,32,512,8192,1,28853175,25706401,10723047,2816954
512,6,1962.6666666667,5.3333333333,512,2,512,5,3,3,64,64,512,8192,1,20300027,10445662,11222976,2816350
512,6,2389.3333333333,4.6666666667,512,1,512,2,2,2,32,32,256,4096,1,28933918,26184938,18327482,3537232
